Title|Author|Year|Status|Format|Previously Read|Notes
The Smartest Kids in the World: And How They Got That Way|Amanda Ripley|NULL|Completed|Print|FALSE|NULL
A Place to Stand|Jimmy Santiago Baca|NULL|Completed|Print|FALSE|NULL
The Power of Habit: Why We Do What We Do in Life and Business|Charles Duhigg|NULL|Completed|Audio|FALSE|NULL
Who Moved My Cheese?|Spencer Johnson|NULL|Completed|Print|FALSE|NULL
Beowulf|NULL|NULL|Completed|Print|FALSE|Taught this
Slaughterhouse Five|Kurt Vonnegut Jr.|NULL|Completed|Print|FALSE|Taught this
Nineteen Reservoirs|Lucy Sante|NULL|Started|Print|FALSE|NULL
Chip War|Chris Miller|NULL|Started|Print|FALSE|NULL
Behave: The Biology of Humans at Our Best and Worst|Robert M. Sapolsky|NULL|Started|Print|FALSE|NULL
Why We Get Sick|Randolph M. Nesse, M.D., and George C. Williams, Ph.D.|NULL|Started|Print|FALSE|NULL
UNIX: A History and a Memoir|Brian Kernighan|NULL|Started|Print|FALSE|NULL
The Rough Riders|Theodore Roosevelt|NULL|Started|Print|FALSE|NULL
The River of Doubt: Theodore Roosevelt's Darkest Journey|Candice Millard|NULL|Started|Print|FALSE|NULL
Leadership in Turbulent Times|Doris Kearns Goodwin|NULL|Started|Print|FALSE|NULL
No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II|Doris Kearns Goodwin|NULL|Started|Print|FALSE|NULL
Perrine's Literature: Structure, Sound, and Sense|Thomas R. Arp|NULL|Started|Print|FALSE|Taught this
The Norton Anthology of English Literature|Stephen Greenblatt (editor)|NULL|Started|Print|FALSE|Taught this
The Miraculous Journey of Edward Tulane|Kate DiCamillo|NULL|Completed|Print|FALSE|NULL
The Inner City Mother Goose|Eve Merriam|NULL|Completed|Print|FALSE|NULL
Danny the Champion of the World|Roald Dahl|NULL|Completed|Print|FALSE|NULL
The Rise of Theodore Roosevelt|Edmund Morris|NULL|Not Started|Print|FALSE|NULL
The Secret History of the Mongol Queens|Jack Weatherford|NULL|Not Started|Print|FALSE|NULL
A Promised Land|Barack Obama|NULL|Completed|Print|FALSE|NULL
